команда,перевод
--/prefetch:1[1],"Аргументы для использования при запуске различных типов процессов. Было отмечено, что, когда чтения файлов являются согласованными для 3 запуска процесса с тем же аргументом, предварительный фишер Windows начинает выпускать чтения в партии при запуске процесса. Поскольку чтения зависят от типа процесса, префетчер не сможет наблюдать последовательные чтения, если не использовались аргументы. Обратите внимание, что у процесса браузера нет аргументов; Таким образом, все другие процессы должны иметь один, чтобы избежать загрязнения его профиля. Примечание: всегда должно быть в [1, 8]; в противном случае его игнорируют предварительным предварительным выфетчатом Windows."
--/prefetch:2[1],без описания
--/prefetch:3[1],без описания
--/prefetch:4[1],без описания
--/prefetch:5[1],"Аргументы для процесса браузера, запущенные в фоновом режиме и для процесса наблюдателя. Используйте профили 5, 6 и 7, как задокументировано на kprefetchargument* в content_switches.cc."
--/prefetch:8[1],"Аргумент, разделяемый всеми типами процессов, у которых нет своих собственных. Вполне вероятно, что предварительный фишер не будет работать для этих типов процессов, так как он не сможет наблюдать за последовательными чтениями файлов через запусках. Тем не менее, наличие достоверного аргумента предварительного вычинения для этих типов процессов требуется, чтобы не помешать им вмешиваться в профиль предварительного вычинения процесса браузера."
--0,без описания
--1,без описания
--10000,без описания
--100000,без описания
--1000000,без описания
--2,без описания
--3d-display-mode[1],без описания
--4,без описания
--50000,без описания
--500000,без описания
--5000000,без описания
--7,без описания
--?,без описания
--accept-empty-variations-seed-signature,Примите пустую подпись при загрузке семян. Это для целей тестирования.
--accept-lang,"Указывает Accept-Language для отправки на серверы и разоблачить JavaScript через свойство Navigator.Language DOM. Язык [-country], где язык является двухдтективным кодом от ISO-639."
--accept-resource-provider,"Флаг, указывающий, что поставщик ресурсов должен быть настроен для предоставления актеров ресурса. Приложения не могут начинаться до предоставления ресурсов. Этот флаг подразумевает-alsa-check-close-timeout = 0."
--adaboost,без описания
--add-gpu-appcontainer-caps[1],Добавьте дополнительные возможности в песочницу AppContainer в процессе GPU.
--add-xr-appcontainer-caps[1],"Добавьте дополнительные возможности в песочницу AppContainer, используемая для XR Compositing."
--additional-private-state-token-key-commitments,"Вручную устанавливает дополнительные ключевые обязательства по токенам частного штата в сетевой службе, которая должна быть словарь JSON, удовлетворяющий требованиям TrustTokenKeyCommentParser :: parsemultipleisers. Эти ключи доступны в дополнение к ключам, предоставленным последним вызовом TrustTokenKeyCommentments :: SET. Для эмитентов с ключами, предоставленными как через командную строку, так и TrustTokenKeyCommentments :: SET, ключи, предоставленные через командную строку, имеют приоритет. Это связано с тем, что кто-то тестирование вручную может захотеть передать дополнительные ключи через командную строку в реальное выпуск Chrome с включенным компонентом, и было бы удивительно, если бы клавиши с вручную были перезаписаны некоторое время после запуска, когда компонент обновляется."
--aggressive-cache-discard,без описания
--all,без описания
--all-renderers,без описания
--allarticles,без описания
--allow-command-line-plugins,Позволяет загружать плагины в командной строке для тестирования.
--allow-cross-origin-auth-prompt,"Позволяет сторонним контенту, включенным на страницу, чтобы запросить HTTP Basic Auth UserName/Password Pare."
--allow-empty-passwords-in-tests,"TODO (B/299642185): удалите этот флаг к концу 2023 года. Chromeos не поддерживает пустые пароли для пользователей, но некоторые устаревшие настройки тестирования могут использовать пустой пароль для пользователей."
--allow-external-pages,Разрешить доступ к внешним страницам во время веб -тестов.
--allow-failed-policy-fetch-for-test,"Если этот флаг будет принят, неудачные избрания политики не приведут к выходу из строя инициализации профиля. Это полезно для тестов, потому что это означает, что тесты не должны издеваться над политической инфраструктурой."
--allow-file-access-from-files,"По умолчанию файл: // uris не может прочитать другой файл: // uris. Это переопределение для разработчиков, которые нуждаются в старом поведении для тестирования."
--allow-future-manifest-version,Ошибки продления смены при работе с новой манифестной версией.
--allow-http-background-page,Позволяет URL-адрес не-HTTPS для Founal_Page для размещенных приложений.
--allow-http-screen-capture,Позвольте небезопасным происхождениям использовать API захвата экрана и API удлинительного расширения настольной работы.
